Country,Date,Δlog(NEER),Δlog(EUI),Δlog(Forign prices),Δlog(output/GDP),Δlog(CPI_all_items)
Canada,2010-Q2,0.0223,0.084450,0.0156,0.0000,0.0013589
Canada,2010-Q3,-0.0174,-0.087448,0.0000,0.0000,0.0013570
Canada,2010-Q4,0.0115,-0.276735,0.0301,0.0000,-0.0035321
Canada,2011-Q1,0.0218,-0.106390,0.0271,0.0211,0.0255287
Canada,2011-Q2,0.0069,0.052558,0.0142,0.0000,0.0181417
Canada,2011-Q3,-0.0112,0.359405,0.0022,0.0000,0.0085615
Canada,2011-Q4,-0.0286,-0.039889,-0.0116,0.0000,-0.0012925
Canada,2012-Q1,0.0213,-0.042405,-0.0035,0.0066,0.0123395
Canada,2012-Q2,-0.0014,0.681485,-0.0010,0.0000,0.0022968
Canada,2012-Q3,0.0170,-0.350280,-0.0176,0.0000,0.0050852
Canada,2012-Q4,-0.0022,0.401203,-0.0013,0.0000,-0.0045755
Canada,2013-Q1,-0.0161,-0.204057,0.0023,0.0125,0.0106438
Canada,2013-Q2,-0.0107,-0.805958,-0.0110,0.0000,0.0030204
Canada,2013-Q3,-0.0111,0.113033,-0.0075,0.0000,-0.0017608
Canada,2013-Q4,-0.0150,0.157138,0.0020,0.0000,-0.0035309
Canada,2014-Q1,-0.0479,0.054972,-0.0033,0.0183,0.0145475
Canada,2014-Q2,0.0085,0.027713,-0.0066,0.0000,0.0153203
Canada,2014-Q3,0.0067,-0.346007,-0.0050,0.0000,0.0012253
Canada,2014-Q4,-0.0240,0.193912,-0.0134,0.0000,0.0036670
Canada,2015-Q1,-0.0674,0.547855,-0.0218,-0.0011,0.0248235
Canada,2015-Q2,0.0127,-0.162570,-0.0076,0.0000,0.0085329
Canada,2015-Q3,-0.0511,-0.175445,-0.0165,0.0000,0.0002360
Canada,2015-Q4,-0.0121,-0.139024,-0.0146,0.0000,0.0068195
Canada,2016-Q1,-0.0221,0.209157,0.0407,-0.0010,0.0268224
Canada,2016-Q2,0.0552,-0.209427,0.0120,0.0000,-0.0156361
Canada,2016-Q3,-0.0096,0.488773,0.0054,0.0000,-0.0158845
Canada,2016-Q4,-0.0076,0.059458,0.0260,0.0000,-0.0182968
Canada,2017-Q1,0.0124,-0.068511,0.0282,0.0179,0.0102589
Canada,2017-Q2,-0.0281,-0.593984,-0.0029,0.0000,0.0101548
Canada,2017-Q3,0.0576,-0.011450,0.0086,0.0000,0.0011741
Canada,2017-Q4,-0.0133,0.553525,0.0223,0.0000,-0.0115663
Canada,2018-Q1,-0.0090,-0.734597,0.0081,0.0127,0.0118009
Canada,2018-Q2,-0.0114,0.632974,0.0006,0.0000,-0.0004694
Canada,2018-Q3,0.0027,0.112620,0.0092,0.0000,0.0035149
Canada,2018-Q4,-0.0028,-0.082289,0.0049,0.0000,0.0016361
Canada,2019-Q1,-0.0128,0.324729,-0.0129,0.0043,0.0276388
Canada,2019-Q2,-0.0024,0.101310,0.0040,0.0000,0.0029489
Canada,2019-Q3,0.0183,-0.210571,-0.0037,0.0000,0.0076715
Canada,2019-Q4,0.0004,0.474460,0.0006,0.0000,-0.0017998
Canada,2020-Q1,-0.0149,0.054792,-0.0071,-0.0625,0.0191799
Canada,2020-Q2,-0.0159,-0.655385,-0.0229,0.0000,0.0094537
Canada,2020-Q3,0.0236,-0.050213,0.0073,0.0000,-0.0092329
Canada,2020-Q4,0.0077,-0.208630,0.0091,0.0000,-0.0046486
Canada,2021-Q1,0.0231,-0.629870,-0.0327,0.0523,0.0134437
